1955;5000000;61.902;3462;8.035;26000000;124;29503;en;Drama#History;Brooksfilms#Paramount Pictures;US;English
9552;12000000;68.157;7930;7.734;441306145;122;27024;en;Horror#Drama;Hoya Productions#Warner Bros. Pictures;US;Deutsch#French#Latin#Arabic#Russian2#English
961;750000;13.063;1237;8;1000000;79;9856;en;Comedy#Action#Adventure#War;Joseph M. Schenck Productions#Buster Keaton Productions;US;No Language
238;6000000;182.418;20610;08.lip;245066411;175;26372;en;Drama#Crime;Paramount Pictures#Alfran Productions;US;English#Italiano#Latin
962;923000;16.292;1591;8;4000000;95;9326;en;Adventure#Comedy#Drama;Charles Chaplin Productions;US;No Language
37247;3000000;23.112;3305;07.cze;104945305;106;24827;en;Drama#Romance#Comedy;AVCO Embassy Pictures#Mike Nichols Productions#Lawrence Turman Productions;US;English
596;800000;20.216;968;07.sie;1591000;129;14685;en;Drama;20th Century Fox;US;English
914;2000000;24.142;3359;08.mar;11000000;125;14899;en;Comedy#War;Charles Chaplin Productions;US;English#Esperanto
5925;4000000;80.997;2526;7.948;11700000;173;23195;en;Adventure#Drama#War;The Mirisch Company#United Artists;US;English#Deutsch#French#Russian
497;60000000;97.338;17412;08.maj;286801374;189;36504;en;Fantasy#Drama#Crime;Castle Rock Entertainment#Darkwoods Productions;US;French#English
49051;250000000;73.387;18333;07.kwi;1021103568;169;41255;en;Adventure#Fantasy#Action;New Line Cinema#Metro-Goldwyn-Mayer#WingNut Films#Warner Bros. Pictures;NZ#US;English
990;2000000;16.674;961;07.lip;7600000;134;22549;en;Drama#Romance;Rossen Films#20th Century Fox;US;English
10098;250000;19.813;2092;8.175;2500000;68;7692;en;Comedy#Drama;Charles Chaplin Productions;US;No Language
247;320000;16.486;1519;07.lip;0;85;20612;en;Crime#Thriller;United Artists#Harris-Kubrick Productions;US;English
45269;15000000;32.354;8648;7.742;414211549;118;40508;en;Drama#History;The Weinstein Company#See-Saw Films#Bedlam Productions;GB#US;English
8587;45000000;133.376;18238;08.mar;763455561;89;34509;en;Family#Animation#Drama;Walt Disney Pictures#Walt Disney Feature Animation;US;English
121;79000000;95.573;21834;08.kwi;926287400;179;37608;en;Adventure#Fantasy#Action;New Line Cinema#WingNut Films#The Saul Zaentz Company;NZ#US;English
963;375000;20.523;1664;07.lip;1772000;100;15267;en;Mystery#Crime#Thriller;Warner Bros. Pictures;US;English
11697;3200000;22.606;1121;7.778;8000000;123;22749;en;Western;Paramount Pictures#John Ford Productions;US;English
982;2200000;19.664;699;07.maj;7700000;126;22943;en;Thriller#Drama;MC Productions#United Artists;US;English
603;63000000;232.637;25610;8.218;463517383;136;36250;en;Action#Science Fiction;Village Roadshow Pictures#Groucho II Film Partnership#Silver Pictures#Warner Bros. Pictures;US;English
3112;795000;23.104;1595;7.878;0;93;20327;en;Crime#Drama#Thriller;Paul Gregory Productions#United Artists;US;English
423;35000000;105.57;9149;08.kwi;120098945;150;37516;en;Drama#War;Canal+ Polska#Bac Films#Heritage Films#Studio Babelsberg#Agencja Produkcji Filmowej#R.P. Productions#StudioCanal#Canal+#TVP#Runteam;FR#DE#PL#GB;English#Deutsch#Polski#Russian
1124;40000000;68.373;15983;8.203;109676311;130;39007;en;Drama#Mystery#Science Fiction;Warner Bros. Pictures#Touchstone Pictures#Newmarket Films#Syncopy;GB#US;English
2493;16000000;58.682;4514;7.679;30900000;99;32045;en;Adventure#Family#Fantasy#Comedy#Romance;The Princess Bride Ltd.#Buttercup Films Ltd.#Act III Productions;US;English
278;25000000;202.243;27138;8.707;28341469;142;34600;en;Drama#Crime;Castle Rock Entertainment;US;English
694;19000000;81.812;17428;08.lut;44781695;144;29364;en;Horror#Thriller;Warner Bros. Pictures#Peregrine#Hawk Films#The Producer Circle Co.;GB#US;English
274;19000000;22.513;16249;08.mar;272742922;119;33283;en;Crime#Drama#Thriller;Orion Pictures#Strong Heart;US;English
745;40000000;65.254;11671;7.956;672800000;107;36378;en;Mystery#Thriller#Drama;Spyglass Entertainment#The Kennedy/Marshall Company#Hollywood Pictures#Barry Mendel Productions;US;Latin#Espaniol#English
9277;5500000;19.179;2589;8;159616327;129;27023;en;Comedy#Crime#Drama;Universal Pictures#Zanuck/Brown Productions#David Brown Productions;US;English
218;6400000;98.478;13132;7.662;78371200;108;30981;en;Action#Thriller#Science Fiction;Hemdale#Pacific Western;GB#US;English#Espaniol
1091;15000000;60.147;6951;08.sty;19629760;109;30127;en;Horror#Mystery#Science Fiction;Universal Pictures#The Turman-Foster Company;US;English#Norsk
1092;0;29.196;1845;07.wrz;1226098;105;18141;en;Thriller#Mystery;London Films Productions;GB;English#Russian#Deutsch
3090;3800000;18.799;1187;8;4307000;126;17547;en;Adventure#Drama#Western;Warner Bros. Pictures;US;English
37165;60000000;68.586;18282;8.144;264100000;103;35950;en;Comedy#Drama;Paramount Pictures#Scott Rudin Productions;US;English#Espaniol
117;25000000;39.718;5583;07.sie;76270454;119;31931;en;Crime#History#Thriller;Paramount Pictures#The Linson Company;US;English
629;6000000;45.944;10334;08.lut;23300000;106;34899;en;Drama#Crime#Thriller;Bad Hat Harry Productions#Blue Parrot Productions;US;Espaniol#English#French#Magyar
576;6244087;20.223;1176;07.cze;638641;145;25373;en;Western;Warner Bros.-Seven Arts;US;English#Espaniol#Deutsch
630;2777000;96.136;5507;07.cze;33754967;102;14472;en;Adventure#Fantasy#Family;Metro-Goldwyn-Mayer;US;English
